카드번호,승인일자,가맹점명,가맹점사업자번호,승인금액,승인번호
9410-11**-****-1207,2026-02-10,바이오켐상사,123-45-67891,"480,000",02104417
9410-11**-****-1207,2026-02-20,센서마트,220-81-62517,"3,600,000",02207732
9410-11**-****-1207,2026-03-15,김전문,,"500,000",03159204
9410-11**-****-1207,2026-03-17,세움과학,675-88-32809,"3,190,000",03172218
9410-11**-****-1207,2026-04-08,한솔계측기기,309-39-16258,"209,000",04086611
9410-11**-****-1207,2026-05-21,한빛여행사,134-81-72636,"682,000",05213349
9410-11**-****-1207,2026-06-17,온새미로컴퍼니,732-25-73317,"1,870,000",06175528
9410-11**-****-1207,2026-07-14,스마트오피스몰,214-88-33433,"88,000",07142806
9410-11**-****-1207,2026-07-21,(주)해성정밀,320-24-35243,"1,463,000",07219917
9410-11**-****-1207,2026-08-05,다온기획,526-01-81593,"176,000",08051144
9410-11**-****-1207,2026-08-20,(주)한빛사이언스,101-81-16293,"1,320,000",08204417
